review_text,rating,review_date,product_name
This product is amazing! Highly recommended.,5,2024-01-05,Wireless Headphones
Very poor quality. Completely disappointed.,1,2024-01-10,Wireless Headphones
"It's okay, not great but works fine.",3,2024-02-01,Bluetooth Speaker
Absolutely love this item. Worth every penny!,5,2024-02-15,Bluetooth Speaker
Terrible experience. Waste of money.,1,2024-03-01,Smart Watch
Good product for the price.,4,2024-03-12,Smart Watch
Not satisfied with the performance.,2,2024-03-25,Laptop Stand
Exceeded my expectations!,5,2024-04-02,Laptop Stand
"Average quality, nothing special.",3,2024-04-18,Phone Case
Fantastic build and excellent support.,5,2024-05-01,Phone Case
